entidad,tipo_entidad
presidente de Guatemala,cargo
Ámsterdam,ciudad
embajador,cargo
San Juan Chamelco,municipio
Escuela Politécnica,escuela de ingeniería
vicepresidente de Guatemala,cargo
árbitro de fútbol,profesión
Premio Internacional a las Mujeres de Coraje,distinción
San Andrés Itzapa,municipio
Zacapa,municipio
Jorge Roldán,ser humano
Laura Godoy,ser humano
Luis Chicas,ser humano
Luis Pedro Molina,ser humano
Luis Ricardo Rodríguez,ser humano
Marie-Andrée Lessard,ser humano
Marvin Ceballos,ser humano
Marvin Mejicanos,ser humano
Oscar Murúa,ser humano
Osmar López,ser humano
Pablo Melgar,ser humano
Zipacná de León,ser humano
Rafael Morales,ser humano
Ricardo Jerez,ser humano
Rigoberto Gómez,ser humano
Rolf Rottmann,ser humano
Willie Sims,ser humano
Wylder Rodríguez,ser humano
Ana Sofía Gómez,ser humano
César Montes,ser humano
modelo,propiedad
participante en concursos de belleza,concurseante
jugador de fútbol sala,deportista
San Bernardino,página de desambiguación de Wikimedia
voleibolista,deportista
Canadá,país
Universidad McGill,universidad
Tegucigalpa,ciudad
Honduras,país
gimnasta artístico,profesión
Jacobo Árbenz,ser humano
Álvaro Arzú Irigoyen,ser humano
Álvaro Colom,ser humano
Álvaro Leonel Ramazzini Imeri,ser humano
Augusto Robles,ser humano
Óscar Berger,ser humano
Óscar Julio Vian Morales,ser humano
Óscar Humberto Mejía Víctores,ser humano
Óscar Marroquín,ser humano
Óscar Mendoza Azurdia,ser humano
Óscar Piñeda,ser humano
Carlos Batres,ser humano
Luis von Ahn,ser humano
Miguel Ángel Asturias,ser humano
Juan Antonio Martínez,ser humano
Moises Béhar,ser humano
Franz Ippisch,ser humano
Alfonso Portillo,ser humano
Rigoberta Menchú,ser humano
Elmar Rojas,ser humano
Pontificia Universidad Gregoriana,universidad
obispo diocesano,cargo eclesiástico
obispo titular,cargo eclesiástico
árbitro FIFA,cargo
informático teórico,científico
Universidad Carnegie Mellon,universidad
Huehuetenango,ciudad
autor,creador
Beca Guggenheim,premio
Viena,ciudad
Austria,país
Universidad de Música y Arte Dramático de Viena,universidad
Club de Roma,think tank
Embajadores de las Naciones Unidas,cargo
Sacatepéquez,ciudad
Fernando Wilfredo Escobar,ser humano
Rodolfo Ramírez,ser humano
Gregorio Valdez O’Connell,ser humano
Luis Grill Prieto,ser humano
Frank William La Rue,ser humano
Ricardo Trigueño Foster,ser humano
Fredy Thompson,ser humano
Rafael Landívar,ser humano
José Roberto Alejos Cámbara,ser humano
Dionisio Gutiérrez Mayorga,ser humano
Donaldo Álvarez Ruiz,ser humano
Mariano Gálvez,ser humano
